heading,aliases,domain,definition,advantages,disadvantages,applications,code,extras
Array,"['One-dimensional list', 'Indexed collection', 'Ordered sequence']",Data Structures,"A data structure consisting of a collection of elements, each identified by an index or key, allowing for efficient storage and retrieval of elements in a fixed-size, ordered manner.","['Supports random access and indexing', 'Efficient insertion and deletion of elements at arbitrary positions', 'Allows for duplicate elements', 'Space-efficient for sparse data', 'Simple implementation']","['Fixed-size array can lead to wasted space if not filled completely', 'Insertion and deletion can be slow for large arrays', 'Not suitable for unstructured or dynamic data']","['Database indexing and sorting', 'Compiler symbol tables', 'Memory management and caching', 'Scientific computing and numerical analysis', 'Game development and graphics rendering']","#include <stdio.h>

int main() {
	// Initialize an array of size 5 with default values
	int arr[5] = {1, 2, 3, 4, 5};
	printf(""Default array: "");
	for (int i = 0; i < 5; i++) printf(""%d"", arr[i]);
	puts("""");

	// Access an element by its index
	printf(""Element at index 2: %d\n"", arr[2]);

	// Update an element
	arr[0] = 10;
	printf(""Updated array: "");
	for (int i = 0; i < 5; i++) printf(""%d"", arr[i]);
	puts("""");

	return 0;
}",[]
Binary Tree,"['Binary Tree Data Structure', '2-3 Tree', 'Ordered Binary Tree']",Data Structures,"A binary tree is a data structure in which each node has at most two children, referred to as the left child and the right child. Each node represents a key-value pair, where the key is used for sorting purposes, and the value can be any type of data.","['Efficient search, insertion, and deletion operations can be performed in O(log n) time', 'Allows for efficient sorting and ordering of elements', 'Can be used to represent hierarchical relationships between data', 'Supports dynamic set operations such as union, intersection, and difference', 'Can be easily traversed using various algorithms like pre-order, post-order, and in-order traversal']","['Requires more memory compared to other tree-based data structures due to the overhead of each node', 'Insertion and deletion operations can become unbalanced if not implemented properly', 'Can be slow for very large datasets due to the logarithmic time complexity of search operations']","['Database indexing and querying', 'File system organization and management', 'Compiler design and optimization', 'Graph algorithms and network analysis', 'XML document parsing and validation']","struct Node { int data; struct Node* left; struct Node* right; }; void insertNode(struct Node** root, int key) { if (*root == NULL) *root = newNode(key); else if (key < (*root)->data) insertNode(&(*root)->left, key); else if (key > (*root)->data) insertNode(&(*root)->right, key); } struct Node* newNode(int key) { struct Node* node = (struct Node*)malloc(sizeof(struct Node)); node->data = key; node->left = NULL; node->right = NULL; return node; }",[]
Binary Search Tree,"['BST', 'Binary Tree', 'Search Tree']",Data Structures,"A Binary Search Tree is a binary tree data structure in which each node has at most two children (i.e., left child and right child) and for any given node, all elements in the left subtree are less than the current node's value, while all elements in the right subtree are greater.","['Supports efficient search, insert, and delete operations with an average time complexity of O(log n), making it suitable for large datasets.', 'Maintains a balance between the left and right subtrees, ensuring that the tree remains roughly balanced during insertion and deletion.', 'Permits efficient traversal and access to nodes using in-order, pre-order, or post-order traversal techniques.', ""Allows for efficient storage of sorted data, as each node's value is greater than its left child's value and less than its right child's value."", 'Supports range queries and nearest neighbor searches with optimal performance.', 'Can be used to implement a set or multiset data structure with O(log n) time complexity for operations like union, intersection, and difference.']","['Insertion and deletion can cause the tree to become unbalanced if not performed correctly, leading to poor performance.', 'Rebalancing the tree after insertion or deletion can be expensive in terms of time and space.', 'Requires a specific ordering of nodes during construction and traversal, which can be error-prone.', 'May not be suitable for datasets with a large number of duplicate values, as this can lead to an imbalance in the tree.', 'Can be difficult to implement correctly, especially when dealing with edge cases like insertion or deletion of identical values.']","['Database indexing: Binary Search Trees are used to index database records for efficient retrieval and storage.', 'File system management: BSTs can be employed to manage file systems and optimize directory access times.', 'Scientific computing: They find applications in scientific simulations, data analysis, and visualization.', 'Game development: BSTs can be utilized in game engines to improve AI decision-making and pathfinding algorithms.', 'Web search engines: Binary Search Trees are used for efficient indexing and querying of web pages.']","typedef struct node{ int data; struct node *left, *right;} Node;
int main(){
Node* root = NULL;
// Insertion example
insert(root, 5);
insert(root, 3);
insert(root, 7);

// Traversal example
inorder(root); // In-order traversal: left-root-right
}
define void insert(Node** node, int value){
if (*node == NULL) {
*node = createNode(value);
} else {
if (value < (*node)->data)
insert(&(*node)->left, value);
else if (value > (*node)->data)
insert(&(*node)->right, value);
}
define Node* createNode(int data){
Node* node = (Node*)malloc(sizeof(Node));
node->data = data;
node->left = node->right = NULL;
return node;}",[]
Heap,"['Priority Queue', 'Max Heap', 'Min Heap', 'Binary Heap']",Data Structures,"A heap is a specialized tree-based data structure that satisfies the heap property. The heap property states that for any given node I, if the child nodes exist, their values are either greater than or less than the value in the parent node (depending on whether it's a max or min heap). This unique property makes heaps efficient for tasks such as sorting and priority queuing.","['Efficient insertion and deletion of elements at the end', 'Supports heap operations like heapify, insert, delete, extract-min/max', 'Can be used to implement priority queues efficiently', 'Has a space complexity of O(n), where n is the number of nodes', 'The height of the tree can grow up to log(n) in the worst case for a max/min heap with n elements', 'Supports the heap property, which makes it efficient for sorting and priority queuing', 'Can be used as an auxiliary data structure to help in more complex operations', 'Has good locality of reference when implemented properly', 'Allows for efficient searching, inserting, and deleting nodes', 'Can be implemented using arrays or linked lists']","['The time complexity of heapify is O(n) in the worst case', 'Insertion and deletion operations at other positions can be slow due to shifting elements', 'Requires a specific implementation (e.g., array, linked list, binary tree) for optimal performance', 'Has high overhead for handling edge cases like empty heaps or single-element heaps', 'May not provide a direct advantage over balanced trees in all scenarios', 'Can be inefficient if the heap size is very small due to its property', 'Does not inherently support arbitrary-range queries', 'Insertion and deletion at arbitrary positions can lead to shifting of many elements, making it slow', 'Inefficient for operations like search, insert, delete for multiple positions simultaneously', 'May incur a cost for maintaining the heap property']","['Implementation of priority queues in operating systems for process scheduling', ""Use in Dijkstra's algorithm for finding shortest paths from source to all other vertices"", 'Heapsort as an efficient sorting algorithm with average and worst-case time complexity of O(n log n)', 'Binary heaps used in the implementation of graph algorithms like topological sorting, depth-first search (DFS), breadth-first search (BFS)', 'Use of max heap for finding the maximum value among a set of values', 'Min heap implementation in Huffman coding for creating prefix codes', 'Heaps utilized in priority queuing systems for assigning priorities to tasks based on urgency', 'A min-heap can be used to efficiently implement the A\th* algorithm (A* pathfinding) for finding shortest paths', 'Max heap can find the maximum value among all elements in an array or linked list in O(log n) time complexity', 'Use of binary heap data structure to optimize merge sort and selection algorithms']","int arr[10]; // example array
void heapify(int arr[], int i, int n){
	// rearrange the array elements as a maxheap
	int largest = i;
	int left = 2*i + 1;
	int right = 2*i + 2;
	if (left < n && arr[left] > arr[largest]){
		next_largest = left;
	}else {
		next_largest = largest;
	}
	if (right < n && arr[right] > arr[next_largest]){
		next_largest = right;
	}
	if(next_largest != largest){
		int temp = arr[largest];
		arr[largest] = arr[next_largest];
		arr[next_largest] = temp;
		heapify(arr, next_largest, n);
	}
	}
void build_max_heap(int arr[], int n){
	for (int i = n / 2 - 1; i >= 0; --i) {
		heapify(arr, i, n);
	}
}
void print_array(int arr[], int n){
	printf(""Maximum element is %d\n"", arr[0]);
}
int main(){
	int arr[] = {12, 11, 13, 5, 6, 7};
	int n = sizeof(arr) / sizeof(arr[0]);
	build_max_heap(arr, n);
	print_array(arr, n);
	return 0;
}",[]
Merge Sort,"['Merging Algorithm', 'Divide and Conquer Sorting', 'Efficient Sorting Technique']",Algorithms,"Merge sort is a divide-and-conquer algorithm that splits an input list into two halves, recursively sorts each half, and then merges the two sorted halves back together in a single sorted output.","['Efficient for large datasets', 'Has a time complexity of O(n log n)', 'Stable sorting algorithm', 'Easy to implement', 'In-place sorting is not guaranteed']","['Requires extra memory for temporary storage during merge process', 'Not suitable for small input sizes due to overhead of recursive calls']","['Sorting large datasets in big data analytics', 'Efficient sorting in databases and file systems', 'Algorithms in graph theory and computational geometry', 'Sorting in numerical methods and scientific computing']","void mergeSort(int arr[], int left, int right) {
	if (left < right) {
		int mid = left + (right - left) / 2;
		mergeSort(arr, left, mid);
		mergeSort(arr, mid + 1, right);
		merge(arr, left, mid, right);
	}
} 
void merge(int arr[], int left, int mid, int right) {
	int n1 = mid - left + 1;
	int n2 = right - mid;
	int[] temp1 = new int[n1];
	int[] temp2 = new int[n2];
	for (int i = 0; i < n1; ++i) temp1[i] = arr[left + i];
	for (int j = 0; j < n2; ++j) temp2[j] = arr[mid + 1 + j];
	int i = 0, j = 0, k = left;
	p while (i < n1 && j < n2) {
		if (temp1[i] <= temp2[j]) {
			arr[k++] = temp1[i++];
		} else {
			arr[k++] = temp2[j++];
		}
	}
	while (i < n1) arr[k++] = temp1[i++];
	while (j < n2) arr[k++] = temp2[j++];
}",[]
Quick Sort,"['Quicksort', 'Partition-Select Algorithm', 'Lomuto Partition Scheme']",Algorithms,"A divide-and-conquer algorithm that picks an element as pivot and partitions the given array around the picked pivot. The partition scheme divides the array into two subarrays, elements less than the pivot and elements greater than the pivot. Recursively apply the same process to each subarray.","['Efficient for large datasets due to its average time complexity of O(n log n)', 'In-place sorting algorithm', 'Stable sorting algorithm when using a suitable partition scheme', 'Adaptable to different types of data and can handle duplicate elements', 'Parallelizable, making it efficient on multi-core processors', ""Suitable for external sorting, where the entire dataset doesn't fit in memory""]","['Worst-case time complexity of O(n^2)', 'Sensitivity to initial pivot choice can lead to poor performance', 'Requires extra space for recursive call stack or partitioning', 'Not suitable for nearly sorted arrays, as it performs poorly in the worst case']","['General-purpose sorting of large datasets', 'Database query optimization and indexing', 'File system organization and searching', 'Scientific computing and data analysis', 'Data compression and encryption algorithms', 'Compiler design and code optimization']","#include <stdio.h>
#include <stdlib.h>

void swap(int *a, int *b) {
	int temp = *a;
	*a = *b;
	*b = temp;
}

int partition(int arr[], int low, int high) {
	int pivot = arr[high];
	int i = low - 1;

	for (int j = low; j < high; j++) {
		if (arr[j] <= pivot) {
			i++;
			swap(&arr[i], &arr[j]);
		}
	}
	swap(&arr[i + 1], &arr[high]);
	return i + 1;
}

void quickSort(int arr[], int low, int high) {
	if (low < high) {
		int pivot = partition(arr, low, high);
		quickSort(arr, low, pivot - 1);
		quickSort(arr, pivot + 1, high);
	}
}

void printArray(int arr[], int size) {
	for (int i = 0; i < size; i++) {
		printf(""%d "", arr[i]);
	}
	puts("""");
}

int main() {
	int arr[] = {5, 2, 8, 1, 9};
	int size = sizeof(arr) / sizeof(arr[0]);
	quickSort(arr, 0, size - 1);
	printArray(arr, size);
	return 0;
}","Time Complexity : Best / Average case : O(n logn) , Worst : O(n^2) . Space Complexity - average-case and best-case space complexity of 
 due to the recursive call stack. In the worst-case scenario, the space complexity can degrade to 
 if the recursion tree becomes skewed (e.g., already sorted array)"
Linked List,"['dynamic array', 'chain-based list', 'sequential access list']",Data Structures,"A linked list is a linear data structure where each element, called a node, contains a value and a reference (i.e., a link) to the next node in the sequence. This allows for efficient insertion and deletion of nodes at any position in the list.","['Efficient dynamic memory allocation', 'Fast insertion and deletion of elements', 'Allows for implementation of advanced data structures like stacks and queues', 'Can be used to implement recursive algorithms iteratively', 'Supports efficient searching and sorting', 'Flexible and adaptable to changing requirements', 'Uses less memory than arrays for sparse or irregularly structured data', 'Easy to implement and understand', 'Supports efficient concatenation of lists']","['Slow access times due to sequential traversal', 'Limited support for random access operations', 'Can be prone to memory leaks if not implemented carefully', 'May lead to inefficient use of memory if not properly managed', 'Requires extra overhead for node management and linking', 'May experience performance issues with large datasets', 'Can be challenging to implement certain algorithms like sorting and searching', 'Supports limited operations like insertion, deletion, and search']","['Implementing stacks and queues for expression evaluation and parsing', 'Representing graphs and trees in computer science', 'Storing and traversing large datasets with varying lengths', 'Efficiently managing dynamic memory allocation in operating systems', 'Supporting recursive algorithms like tree traversal and merge sort', 'Building hash tables and dictionaries using linked lists', 'Simulating real-world systems like banking transactions and order processing', 'Implementing database query optimization techniques', 'Representing file systems and directories']","typedef struct Node { int data; struct Node* next; } Node;
Node* createNode(int value) {
Node* newNode = (Node*) malloc(sizeof(Node));
newNode->data = value;
newNode->next = NULL;
return newNode;
}
void insertAtHead(Node** head, int value) {
Node* newNode = createNode(value);
if (*head == NULL) *head = newNode;
else {newNode->next = *head; *head = newNode;}}",[]
Doubly Linked List,"['Two-way Linked List', 'DLL', 'Linked List with two pointers']",Data Structures,"A doubly linked list is a linear collection of data elements, in which navigation is possible in both forward and backward directions. Each element, known as a node, points to the next node (forward) and the previous node (backward).","['Efficient insertion and deletion at any position', 'Frequent access to previous or next element', 'Can be implemented using either static or dynamic memory allocation', 'Memory usage is relatively low compared to other data structures', 'Supports efficient traversal in both forward and backward directions', 'Easy implementation of operations like insert, delete, and search', 'Allows for efficient updating of existing elements', 'Supports efficient insertion of new elements at any position']","['Slow searching due to the need to traverse through the list from the beginning or end', 'Memory usage can increase significantly if not implemented efficiently', 'Insertion and deletion operations can be complex in some cases', 'Requires careful management of node pointers for correct traversal', 'Not suitable for applications requiring random access', 'Can experience cache misses during frequent insertions/deletions', 'May require additional memory for storing predecessor information', 'Traversal can be slower compared to arrays or other data structures']","['Database query results that require efficient scrolling through records', 'Browser history management, where forward and backward navigation is crucial', 'Text editors, where insertion and deletion of characters are frequent', 'File system traversal in operating systems for efficient directory browsing', 'Compilers, where efficient parsing of code segments is essential', 'Graph algorithms, where doubly linked lists can be used to represent edges', 'Network routing protocols, where efficient updating of routing tables is necessary', 'Database indexing mechanisms that require efficient insertion and deletion']","struct Node { int data; struct Node* next; struct Node* prev; }; 
int main() {
	struct Node* head = NULL;
	handle_insert(head, 10);
	handle_insert(head, 20);
	handle_delete(head, 10);
	return 0;
}
define handle_insert(Node** head, int data)
{
	Node* newNode = (Node*)malloc(sizeof(Node));
	newNode->data = data;
	newNode->next = NULL;

	if(*head == NULL)
	{
		*head = newNode;
		return;
	}

	Node* current = *head;

	while(current->next != NULL && current->data < data)
	{
		current = current->next;
	}

	if(current == *head)
	{
		newNode->next = (*head)->next;
		(*head)->next = newNode;
		newNode->prev = NULL;
	}

	else
	{
		current->prev->next = newNode;
		newNode->next = current;
		node->prev = current->prev;
		node->prev->next = node;
	}
	}
define handle_delete(Node** head, int data)
{
	if(*head == NULL)
	{
		return;
	}

	if((*head)->data == data)
	{
		*head = (*head)->next;
		node->prev->next = node->next;
		node->next->prev = node->prev;
		free(node);
		return;
	}

	Node* current = *head;

	while(current->next != NULL && current->data < data)
	{
		current = current->next;
	}

	if(current == *head)
	{
		(*head)->next = (*head)->next->next;
		(*head)->prev = NULL;
	}

	else if(current->data == data)
	{
		current->prev->next = current->next;
		node->next->prev = node->prev;
		free(node);
	}
}",[]
Circular Linked List,"['circularly linked list', 'ring linked list', 'circularly connected list']",Data Structures,"A circular linked list is a type of data structure where the last node points back to the first node, forming a circle. This allows for efficient traversal and manipulation of nodes in both forward and backward directions.","['Efficient memory usage due to sharing of nodes between two lists', 'Faster traversal time due to ability to move in both forward and backward directions', 'Easy insertion and deletion of nodes at any position without affecting adjacent nodes', 'No need for additional pointers or memory allocation for sentinel nodes', 'Supports bidirectional traversal', 'Efficient use of space by reusing existing nodes']","['More complex to implement compared to linear linked lists', 'Additional overhead in managing circular references and node reuse', 'Potential for errors due to incorrect handling of circular references', 'Difficult to find the end of the list if not properly implemented', 'May require more memory allocation and deallocation for each node creation/deletion', 'More challenging to implement in parallel processing environments']","['Implementing circular buffers or queues for efficient data transfer', 'Efficiently traversing and searching large datasets', 'Storing graph or tree structures with cyclic edges or relationships', 'Supporting bidirectional traversal in games, simulations, or scientific computations', 'Implementing memory-efficient caching mechanisms']","struct Node { int data; struct Node* next; }; 
void createCircularList(struct Node** head) {
	struct Node* temp = (struct Node*)malloc(sizeof(struct Node));
	temp->data = 10;
	emp->next = *head;
	if (*head == NULL)
		*head = temp;
	else
	{
		struct Node* lastNode = *head;
		while (lastNode->next != NULL) lastNode = lastNode->next;
		lastNode->next = temp;
	}
	temp->next = *head; // link the new node to the head
}
int main() {
	handle linkedList;
	createCircularList(&linkedList);
	// use the circular list as needed
	return 0;
}",[]
Priority Queue,"['Heap data structure', 'Priority queue implementation', 'Min-heap and max-heap']",Data Structures,"A priority queue is a data structure that allows the insertion of elements with associated priorities, where the element with the highest priority is extracted first. It supports operations such as insert, delete-min (or delete-max), and decrease-key.","['Efficient in supporting high-priority elements', 'Supports efficient deletion of minimum or maximum element', 'Can be used to implement scheduling algorithms', 'Allows for efficient retrieval of the highest-priority element', 'Supports efficient insertion of new elements with their associated priorities', 'Can be implemented using an array or a binary heap data structure', 'Has a time complexity of O(log n) for operations such as insert and delete-min']","['Space complexity is O(n), where n is the number of elements in the queue', 'Insertion and deletion can be costly if implemented using an array', 'Can be difficult to maintain heap property during insertion and deletion', 'May require additional memory for storing element priorities']","['Scheduling tasks with varying priority levels', 'Implementing a job queue in operating systems', 'Finding the minimum or maximum value in an array efficiently', ""Dijkstra's algorithm for finding shortest paths in graphs"", ""Prim's algorithm for finding minimum spanning trees in graphs""]","#include <stdio.h>
#include <stdlib.h>

#define MAX_SIZE 1000

typedef struct { int key, priority; } Element;

typedef struct { Element heap[MAX_SIZE]; int size; } PriorityQueue;

tyne void enqueue(PriorityQueue* pq, int key, int priority) {
    Element e = (Element){key, priority};
    if(pq->size < MAX_SIZE)
        pq->heap[pq->size++] = e;
}

int dequeue(PriorityQueue* pq) {
    if(pq->size > 0)
        return pq->heap[0].key;
    else
        return -1;
}

tyne void decreaseKey(PriorityQueue* pq, int key, int newPriority) {
    for(int i = 0; i < pq->size; ++i)
        if(pq->heap[i].key == key)
            pq->heap[i].priority = newPriority;
}

int main() {
    PriorityQueue pq;
    pq.size = 0;

    enqueue(&pq, 1, 5);
    enqueue(&pq, 2, 3);
    enqueue(&pq, 3, 7);

    printf(""Dequeued key: %d\n"", dequeue(&pq));

    decreaseKey(&pq, 2, 10);

    return 0;
}",[]
